"","Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Families","Median family income (dollars)","Mean family income (dollars)"
"Rabun County, Georgia","4487","50864","63593"
"Randolph County, Georgia","1957","35914","49573"
"Richmond County, Georgia","44318","46486","61001"
"Rockdale County, Georgia","21428","58441","71794"
"Schley County, Georgia","1264","52391","60141"
"Screven County, Georgia","3380","46591","58554"
"Seminole County, Georgia","2356","38173","50692"
"Spalding County, Georgia","16239","50251","60336"
"Stephens County, Georgia","6550","46972","59700"
"Stewart County, Georgia","1056","32566","42332"
"Sumter County, Georgia","7482","43138","55556"
"Talbot County, Georgia","1884","38993","48807"
"Taliaferro County, Georgia","430","36500","43916"
"Tattnall County, Georgia","5423","47204","56901"
"Taylor County, Georgia","2648","35017","47096"
"Telfair County, Georgia","3787","33608","42079"
"Terrell County, Georgia","2327","38007","48541"
"Thomas County, Georgia","11128","42835","58270"
"Tift County, Georgia","9329","41712","59441"
"Toombs County, Georgia","6857","46442","60183"
"Towns County, Georgia","2719","45707","56780"
"Treutlen County, Georgia","1653","46282","65141"
"Troup County, Georgia","17139","50076","65114"
"Turner County, Georgia","2183","34176","51308"
"Twiggs County, Georgia","2146","35901","57673"
"Union County, Georgia","6569","47736","59856"
"Upson County, Georgia","7167","43590","52455"
"Walker County, Georgia","18369","50683","63441"
"Walton County, Georgia","22989","60249","71384"
"Ware County, Georgia","8912","46455","60165"
"Warren County, Georgia","1350","34030","50383"
"Washington County, Georgia","4995","45757","55805"
"Wayne County, Georgia","7328","43465","54097"
"Webster County, Georgia","735","51458","56865"
"Wheeler County, Georgia","1495","31556","40913"
"White County, Georgia","8185","51282","62815"
"Whitfield County, Georgia","25735","45728","61366"
"Wilcox County, Georgia","1895","38627","47902"
"Wilkes County, Georgia","2486","39534","50203"
"Wilkinson County, Georgia","2307","44025","51627"
"Worth County, Georgia","5706","44411","56292"
"Hawaii County, Hawaii","43012","59862","74919"
"Honolulu County, Hawaii","217400","85440","100862"
"Kalawao County, Hawaii","12","88750","101667"
"Kauai County, Hawaii","15609","73205","85704"
"Maui County, Hawaii","36025","75407","94180"
"Ada County, Idaho","102874","67641","84107"
"Adams County, Idaho","1187","42978","58694"
"Bannock County, Idaho","20010","57079","68128"
"Bear Lake County, Idaho","1802","49145","61491"
"Benewah County, Idaho","2653","41110","51653"
"Bingham County, Idaho","11297","54323","63627"
"Blaine County, Idaho","6063","76575","97651"
"Boise County, Idaho","1858","55586","67706"
"Bonner County, Idaho","11470","49568","62072"
"Bonneville County, Idaho","26721","58034","73345"
"Boundary County, Idaho","2900","44390","55838"
"Butte County, Idaho","680","50000","69551"
"Camas County, Idaho","321","46587","60731"
