"","Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Families","Median family income (dollars)","Mean family income (dollars)"
"Pepin County, Wisconsin","2025","58770","68974"
"Pierce County, Wisconsin","10090","74867","88054"
"Polk County, Wisconsin","12625","58842","70313"
"Portage County, Wisconsin","17536","65214","75608"
"Price County, Wisconsin","4368","53902","59633"
"Racine County, Wisconsin","49280","66811","81302"
"Richland County, Wisconsin","4994","55208","62705"
"Rock County, Wisconsin","42623","60120","69486"
"Rusk County, Wisconsin","4207","47825","57262"
"St. Croix County, Wisconsin","23351","80740","96963"
"Sauk County, Wisconsin","16811","65561","74445"
"Sawyer County, Wisconsin","5112","46831","58581"
"Shawano County, Wisconsin","11762","54485","64274"
"Sheboygan County, Wisconsin","30644","65968","76304"
"Taylor County, Wisconsin","5720","56250","65835"
"Trempealeau County, Wisconsin","7925","61196","72499"
"Vernon County, Wisconsin","7961","57070","67488"
"Vilas County, Wisconsin","6575","50051","66099"
"Walworth County, Wisconsin","26624","68838","81349"
"Washburn County, Wisconsin","4707","52635","63697"
"Washington County, Wisconsin","37674","79911","92190"
"Waukesha County, Wisconsin","108185","92974","112188"
"Waupaca County, Wisconsin","14402","61581","71276"
"Waushara County, Wisconsin","6653","52816","64591"
"Winnebago County, Wisconsin","41058","66466","80487"
"Wood County, Wisconsin","20620","60258","72220"
"Albany County, Wyoming","7457","67949","81473"
"Big Horn County, Wyoming","3078","61910","72543"
"Campbell County, Wyoming","12141","84746","97772"
"Carbon County, Wyoming","4003","65402","72403"
"Converse County, Wyoming","3935","75231","85325"
"Crook County, Wyoming","2130","60909","71980"
"Fremont County, Wyoming","10340","60397","71132"
"Goshen County, Wyoming","3423","51882","66205"
"Hot Springs County, Wyoming","1319","56344","70183"
"Johnson County, Wyoming","2379","63343","77307"
"Laramie County, Wyoming","24612","71483","82258"
"Lincoln County, Wyoming","4750","71523","78499"
"Natrona County, Wyoming","20673","69098","84557"
"Niobrara County, Wyoming","600","57024","83964"
"Park County, Wyoming","7689","64802","77764"
"Platte County, Wyoming","2264","62596","72265"
"Sheridan County, Wyoming","7809","67673","76973"
"Sublette County, Wyoming","2676","85885","101386"
"Sweetwater County, Wyoming","11783","81595","88158"
"Teton County, Wyoming","4532","83558","127510"
"Uinta County, Wyoming","5322","73060","77015"
"Washakie County, Wyoming","2197","64608","82958"
"Weston County, Wyoming","1906","74531","78380"
